From,To,Domain,Range,LabelFr,LabelNL,LabelEn
90007,90017,EmployerDeclaration,NaturalPerson,emploie,tewerkstelling,employs
90007,90294,EmployerDeclaration,CompanyVehicle,dispose de,heeft beschikking over,has access to
90007,90002,EmployerDeclaration,ContributionUnrelatedToNP,induit,leidt tot,results in
90110,90108,WorkerDeduction,DeductionDetail,correspond à,komt overeen met,corresponds to
90109,90250,OccupationDeduction,OccupationDeductionDetail,correspond à,komt overeen met,corresponds to
90169,90059,DmfAOriginal,Form,reprend,neemt over,takes over
90411,90412,OccupationPublicServiceData,ScaleSalary,correspond à,komt overeen met,corresponds to
90059,90082,Form,Reference,a comme référence,heeft als referentie,has reference
90059,90007,Form,EmployerDeclaration,comprend,bevat,includes
90336,90337,ComplementaryIndemnity,ComplIndemnityContribution,induit,leidt tot,results in
90012,90015,WorkerRecord,Occupation,correspond à,komt overeen met,corresponds to
90012,90578,WorkerRecord,ActivationInformation,correspond à,komt overeen met,corresponds to
90012,90001,WorkerRecord,WorkerContribution,induit,leidt tot,results in
90012,90110,WorkerRecord,WorkerDeduction,correspond à,komt overeen met,corresponds to
90012,90005,WorkerRecord,DismissedStatutoryWorkerContribution,induit,leidt tot,results in
90012,90003,WorkerRecord,StudentContribution,induit,leidt tot,results in
90012,90042,WorkerRecord,EarlyRetirementContribution,induit,leidt tot,results in
90012,90336,WorkerRecord,ComplementaryIndemnity,perçoit,ontvangt,receives
90012,90011,WorkerRecord,IndemnityWAPM,correspond à,komt overeen met,corresponds to
90015,90313,Occupation,OccupationInformations,correspond à,komt overeen met,corresponds to
90015,90172,Occupation,SecondPillarInformation,correspond à,komt overeen met,corresponds to
90015,90018,Occupation,Service,preste,presteert,performs
90015,90019,Occupation,Remun,perçoit,ontvangt,receives
90015,90411,Occupation,OccupationPublicServiceData,correspond à,komt overeen met,corresponds to
90015,90438,Occupation,ReorgMeasureInformation,correspond à,komt overeen met,corresponds to
90015,90109,Occupation,OccupationDeduction,ouvre le droit,opent het recht,entitles to
90017,90012,NaturalPerson,WorkerRecord,est engagé dans le cadre,is tewerkgesteld in het kader van,is employed within the framework of
90412,90413,ScaleSalary,AdditionalScaleSalary,induit,leidt tot,results in
